SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
LELL;QSA;SABADELL AIRPORT;BARCELONA;;ESPANHA;N/I;41,516667;2,1
LELN;LEN;LEÓN AIRPORT;LEÓN;;ESPANHA;N/I;42,588889;-5,655556
LEMD;MAD;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT;MADRID;;ESPANHA;N/I;40,472222;-3,560833
LEMG;AGP;MÁLAGA-COSTA DEL SOL AIRPORT;MÁLAGA;;ESPANHA;N/I;36,675;-4,499167
LEMH;MAH;MENORCA AIRPORT;MENORCA, ISLAS BALEARES;;ESPANHA;N/I;39,8625;4,218611
LEPA;PMI;PALMA DE MALLORCA AIRPORT;ISLAS BALEARES;;ESPANHA;N/I;39,551667;2,738889
LEPP;PNA;PAMPLONA AIRPORT;NAVARRA;;ESPANHA;N/I;42,77;-1,647
LERJ;RJL;LOGROÑO-AGONCILLO AIRPORT;LA RIOJA;;ESPANHA;N/I;42,460278;-2,320278
LERL;CQM;CIUDAD REAL CENTRAL AIRPORT;CIUDAD REAL;;ESPANHA;N/I;38,856389;-3,97
LERS;REU;REUS AIRPORT;REUS/TARRAGONA;;ESPANHA;N/I;41,1475;1,167222
LERT;ROZ;NAVAL STATION ROTA SPAIN;CÁDIZ;;ESPANHA;N/I;36,620763;-6,331558
LESA;SLM;MATACÁN AIRPORT;SALAMANCA;;ESPANHA;N/I;40,951944;-5,501944
LESO;EAS;SAN SEBASTIÁN AIRPORT;GIPUZKOA;;ESPANHA;N/I;43,356389;-1,790556
LEST;SCQ;SANTIAGO DE COMPOSTELA AIRPORT;LA CORUÑA;;ESPANHA;N/I;42,896389;-8,415278
LETL;TEV;TERUEL AIRPORT;TERUEL;;ESPANHA;N/I;40,411944;-1,2175
LETO;TOJ;MADRID-TORREJÓN AIRPORT;MADRID;;ESPANHA;N/I;40,496667;-3,445833
LEVC;VLC;VALENCIA AIRPORT;VALENCIA;;ESPANHA;N/I;39,489444;-0,481667
LEVD;VLL;VALLADOLID AIRPORT;VALLADOLID;;ESPANHA;N/I;41,706111;-4,851944
LEVT;VIT;VITORIA AIRPORT;ÁLAVA;;ESPANHA;N/I;42,882778;-2,724444
LEVX;VGO;VIGO-PEINADOR AIRPORT;VIGO, PONTEVEDRA;;ESPANHA;N/I;42,229167;-8,6275
LEXJ;SDR;SANTANDER AIRPORT;CANTABRIA;;ESPANHA;N/I;43,426944;-3,82
LEZG;ZAZ;ZARAGOZA AIRPORT;ZARAGOZA;;ESPANHA;N/I;41,666111;-1,041667
LEZL;SVQ;SAN PABLO AIRPORT;SEVILLA;;ESPANHA;N/I;37,418056;-5,898889
LFAB;DPE;DIEPPE - SAINT-AUBIN AIRPORT;DIEPPE;;FRANÇA;1A;49,8825;1,08527777
LFAC;CQF;CALAIS - DUNKERQUE AIRPORT;CALAIS, DUNKIRK;;FRANÇA;N/I;50,960833;1,951389
LFAG;XSJ;PÉRONNE SAINT-QUENTIN AERODROME;PÉRONNE;;FRANÇA;N/I;49,869722;3,028611
LFAK;XDK;DUNKERQUE  LES MOËRES AIRPORT;DUNKIRK;;FRANÇA;N/I;51,042222;2,553056
LFAQ;BYF;ALBERT  PICARDIE AIRPORT;ALBERT;;FRANÇA;N/I;49,97;2,6925
LFAT;LTQ;LE TOUQUET-PARIS-PLAGE AIRPORT;LE TOUQUET;;FRANÇA;N/I;50,514722;1,6275
LFAV;XVS;DENAIN AIRPORT;VALENCIENNES;;FRANÇA;N/I;50,325556;3,461111
LFAY;QAM;AMIENS  GLISY AERODROME;AMIENS;;FRANÇA;N/I;49,873056;2,386944
LFBA;AGF;AGEN  LA GARENNE AERODROME;AGEN;;FRANÇA;N/I;44,174722;0,590556
LFBD;BOD;BORDEAUX MÉRIGNAC AIRPORT;BORDEAUX;;FRANÇA;N/I;44,828333;-0,715556
LFBE;EGC;BERGERAC DORDOGNE PÉRIGORD AIRPORT;BERGERAC;;FRANÇA;N/I;44,824444;0,520556
LFBG;CNG;COGNAC  CHÂTEAUBERNARD AIR BASE;COGNAC;;FRANÇA;N/I;45,658333;-0,3175
LFBH;LRH;LA ROCHELLE  ÎLE DE RÉ AIRPORT;LA ROCHELLE;;FRANÇA;N/I;46,179167;-1,195278
LFBI;PIS;POITIERS  BIARD AIRPORT;POITIERS;;FRANÇA;N/I;46,5875;0,306667
LFBK;MCU;MONTLUÇON  GUÉRET AIRPORT;MONTLUÇON;;FRANÇA;N/I;46,226111;2,362778
LFBL;LIG;LIMOGES  BELLEGARDE AIRPORT;LIMOGES;;FRANÇA;N/I;45,860833;1,180278
LFBO;TLS;TOULOUSE - BLAGNAC AIRPORT;TOULOUSE;;FRANÇA;N/I;43,635;1,367778
LFBP;PUF;PAU - PYRENEES AIRPORT;PAU, PYRENEES;;FRANÇA;N/I;43,38;-0,418611
LFBT;LDE;TARBES - LOURDES PYRENEES AIRPORT;TARBES;;FRANÇA;N/I;43,185;-0,001944
LFBU;ANG;ANGOULÊME - BRIE CHAMPNIERS AIRPORT;ANGOULÊME;;FRANÇA;N/I;45,728889;0,218889
LFBV;BVE;BRIVE - LA ROCHE AIRPORT;BRIVE-LA-GAILLARDE;;FRANÇA;N/I;45,149722;1,474444
LFBX;PGX;PÉRIGUEUX - BASSILLAC AIRPORT;PÉRIGUEUX;;FRANÇA;N/I;45,1975;0,815278
LFBZ;BIQ;BIARRITZ-BAYONNE - ANGLET AIRPORT;BIARRITZ, BAYONNE, ANGLET;;FRANÇA;N/I;43,468333;-1,523333
LFCH;XAC;ARCACHON  LA TESTE-DE-BUCH AIRPORT;ARCACHON;;FRANÇA;N/I;44,596389;-1,110833
LFCK;DCM;CASTRES  MAZAMET AIRPORT;CASTRES, MAZAMET;;FRANÇA;N/I;43,555;2,290556
LFCR;RDZ;RODEZ MARCILLAC AIRPORT;RODEZ;;FRANÇA;N/I;44,407778;2,482778
LFEY;IDY;ÎLE D´YEU AIRPORT;ÎLE D´YEU;;FRANÇA;N/I;46,718611;-2,391111
LFFH;XCY;CHÂTEAU-THIERRY BELLEAU AIRPORT;CHÂTEAU-THIERRY;;FRANÇA;N/I;49,066667;3,355556
LFGA;CMR;COLMAR HOUSSEN AIRPORT;COLMAR;;FRANÇA;N/I;48,110278;7,359167
LFGJ;DLE;DÔLE-TAVAUX AIRPORT;DOLE;;FRANÇA;N/I;47,042778;5,435
LFGW;XVN;VERDUN-LE-ROZELIER AIRPORT;VERDUN;;FRANÇA;N/I;49,122356;5,469047
LFHM;MVV;MEGÈVE AIRPORT;MEGÈVE;;FRANÇA;N/I;45,823611;6,649167
LFHP;LPY;LE PUY  LOUDES AIRPORT;LE PUY-EN-VELAY;;FRANÇA;N/I;45,079722;3,763333
LFHS;XBK;BOURG  CEYZÉRIAT AIRPORT;BOURG-EN-BRESSE;;FRANÇA;N/I;46,205556;5,291667
LFHU;AHZ;L´ALPE D´HUEZ AIRPORT;L´ALPE D´HUEZ;;FRANÇA;N/I;45,087778;6,085
LFHV;XVF;VILLEFRANCHE TARARE AIRPORT;TARARE;;FRANÇA;N/I;45,918611;4,635
LFHY;XMU;MOULINS MONTBEUGNY AIRPORT;MOULINS;;FRANÇA;N/I;46,534444;3,421667
LFHZ;XSN;SALLANCHES MONT-BLANC AIRPORT;SALLANCHES;;FRANÇA;N/I;45,95;6,638889
LFJL;ETZ;METZ NANCY LORRAINE AIRPORT;METZ;;FRANÇA;N/I;48,978333;6,246667
LFJR;ANE;ANGERS - LOIRE AIRPORT;ANGERS;;FRANÇA;N/I;47,560278;-0,312222
LFKA;XAV;ALBERTVILLE AIRPORT;ALBERTVILLE;;FRANÇA;N/I;45,6275;6,329722
LFKB;BIA;BASTIA PORETTA AIRPORT;BASTIA;;FRANÇA;N/I;42,55;9,484722
LFKC;CLY;CALVI SAINTE-CATHERINE AIRPORT;CALVI;;FRANÇA;N/I;42,525;8,79
LFKF;FSC;FIGARI SUD CORSE AIRPORT;FIGARI;;FRANÇA;N/I;41,502222;9,096667
LFKJ;AJA;AJACCIO CAMPO DELL´ORO AIRPORT;AJACCIO;;FRANÇA;N/I;41,923889;8,8025
LFKX;MFX;MERIBEL BOIS-DES-FRAISSES AIRPORT;MÉRIBEL;;FRANÇA;N/I;45,4075;6,5775
LFLB;CMF;CHAMBÉRY AIRPORT;CHAMBÉRY, AIX-LES-BAINS;;FRANÇA;N/I;45,64;5,881111
LFLC;CFE;CLERMONT-FERRAND AUVERGNE AIRPORT;CLERMONT-FERRAND;;FRANÇA;N/I;45,785833;3,1625
LFLD;BOU;BOURGES AIRPORT;BOURGES;;FRANÇA;N/I;47,060833;2,37
LFLH;XCD;CHALON CHAMPFORGEUIL AIRPORT;CHALON-SUR-SAÔNE;;FRANÇA;N/I;46,826111;4,8175
LFLI;QNJ;ANNEMASSE AIRPORT;ANNEMASSE;;FRANÇA;N/I;46,192222;6,268056
LFLJ;CVF;COURCHEVEL AIRPORT;COURCHEVEL;;FRANÇA;N/I;45,3975;6,634444
LFLL;LYS;LYON-SAINT EXUPÉRY AIRPORT (FORMERLY SATOLAS AIRPORT);LYON;;FRANÇA;N/I;45,725556;5,081111
LFLN;SYT;SAINT-YAN AIRPORT;SAINT-YAN;;FRANÇA;N/I;46,406389;4,021111
LFLP;NCY;ANNECY MEYTHET AIRPORT;ANNECY;;FRANÇA;N/I;45,930833;6,106389
LFLS;GNB;GRENOBLE SAINT-GEOIRS AIRPORT;GRENOBLE;;FRANÇA;N/I;45,363056;5,329444
LFLU;VAF;VALENCE-CHABEUIL AIRPORT;VALENCE;;FRANÇA;N/I;44,915556;4,968611
LFLV;VHY;VICHY CHARMEIL AIRPORT;VICHY;;FRANÇA;N/I;46,171667;3,404167
LFLW;AUR;AURILLAC  TRONQUIÈRES AIRPORT;AURILLAC;;FRANÇA;N/I;44,8975;2,416667
LFLX;CHR;CHÂTEAUROUX-DÉOLS AIRPORT;CHÂTEAUROUX, DÉOLS;;FRANÇA;N/I;46,862222;1,730556
LFLY;LYN;LYON BRON AIRPORT;LYON;;FRANÇA;N/I;45,729444;4,938889
LFMD;CEQ;CANNES MANDELIEU AIRPORT;CANNES;;FRANÇA;N/I;43,546389;6,954167
LFMH;EBU;SAINT-ÉTIENNE BOUTHÉON AIRPORT;SAINT-ÉTIENNE;;FRANÇA;N/I;45,540556;4,296389
LFMI;QIE;ISTRES LE TUBE AIRPORT;ISTRES;;FRANÇA;N/I;43,524444;4,941667
LFMK;CCF;CARCASSONNE SALVAZA AIRPORT;CARCASSONNE;;FRANÇA;N/I;43,215833;2,308611
LFML;MRS;MARSEILLE PROVENCE AIRPORT;MARSEILLE;;FRANÇA;N/I;43,436667;5,215
LFMN;NCE;NICE CÔTE D´AZUR AIRPORT;NICE;;FRANÇA;N/I;43,665278;7,215
LFMP;PGF;PERPIGNAN RIVESALTES AIRPORT;PERPIGNAN;;FRANÇA;N/I;42,740556;2,870556
LFMR;BAE;BARCELONNETTE  SAINT-PONS AIRPORT ;BARCELONNETTE;;FRANÇA;N/I;44,387222;6,609167
LFMT;MPL;MONTPELLIER-MÉDITERRANÉE AIRPORT;MONTPELLIER;;FRANÇA;N/I;43,576389;3,963056
LFMU;BZR;BÉZIERS-AGDE-VIAS AIRPORT;BÉZIERS;;FRANÇA;N/I;43,323333;3,353333
LFMV;AVN;AVIGNON CAUMONT AIRPORT;AVIGNON;;FRANÇA;N/I;43,906667;4,901944
LFOB;BVA;BEAUVAIS TILLÉ AIRPORT;BEAUVAIS;;FRANÇA;N/I;49,454444;2,112778
LFOH;LEH;LE HAVRE OCTEVILLE AIRPORT;LE HAVRE;;FRANÇA;N/I;49,533889;0,088056
LFOI;XAB;ABBEVILLE - BUIGNY-SAINT-MACLOU AERODROME;ABBEVILLE;;FRANÇA;N/I;50,143056;1,8325
LFOK;XCR;CHÂLONS VATRY AIRPORT;CHÂLONS-EN-CHAMPAGNE;;FRANÇA;N/I;48,773333;4,206111
LFOP;URO;ROUEN VALLÉE DE SEINE AIRPORT;ROUEN;;FRANÇA;N/I;49,390833;1,183889
LFOR;QTJ;CHARTRES  CHAMPHOL AERODROME;CHARTRES;;FRANÇA;N/I;48,458889;1,523889
LFOT;TUF;TOURS VAL DE LOIRE AIRPORT;TOURS;;FRANÇA;N/I;47,431944;0,723056
LFOU;CET;CHOLET LE PONTREAU AIRPORT;CHOLET;;FRANÇA;N/I;47,081944;-0,876944
LFOZ;ORE;ORLÉANS SAINT-DENIS-DE-L´HOTEL AIRPORT;ORLÉANS;;FRANÇA;N/I;47,8975;2,164167
LFPB;LBG;PARIS LE BOURGET AIRPORT;PARIS;;FRANÇA;N/I;48,969444;2,441389
LFPG;CDG;PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT);PARIS;;FRANÇA;N/I;49,009722;2,547778
LFPN;TNF;TOUSSUS-LE-NOBLE AIRPORT;TOUSSUS-LE-NOBLE;;FRANÇA;N/I;48,751389;2,106111
LFPO;ORY;PARIS ORLY AIRPORT;ORLY (NEAR PARIS);;FRANÇA;N/I;48,723333;2,379444
LFPT;POX;PONTOISE - CORMEILLES-EN-VEXIN AIRPORT;PONTOISE;;FRANÇA;N/I;49,096667;2,040833
LFPV;VIY;VÉLIZY - VILLACOUBLAY AIR BASE;VÉLIZY-VILLACOUBLAY;;FRANÇA;N/I;48,773056;2,199722
LFQB;QYR;TROYES BARBEREY AIRPORT;TROYES;;FRANÇA;N/I;48,321667;4,016667
LFQD;QRV;ARRAS  ROCLINCOURT AIRPORT;ARRAS;;FRANÇA;N/I;50,323889;2,802778
LFQQ;LIL;LILLE LESQUIN AIRPORT;LILLE;;FRANÇA;N/I;50,563333;3,086944
LFRB;BES;BREST BRETAGNE AIRPORT;BREST;;FRANÇA;N/I;48,447222;-4,421667
LFRC;CER;CHERBOURG MAUPERTUS AIRPORT;CHERBOURG-OCTEVILLE;;FRANÇA;N/I;49,650833;-1,475278
LFRD;DNR;DINARD PLEURTUIT SAINT-MALO AIRPORT;DINARD;;FRANÇA;N/I;48,587778;-2,08
LFRF;GFR;GRANVILLE AIRPORT;GRANVILLE;;FRANÇA;N/I;43,422778;-73,268056
LFRG;DOL;DEAUVILLE SAINT-GATIEN AIRPORT;DEAUVILLE;;FRANÇA;N/I;49,365278;0,154167
LFRH;LRT;LORIENT SOUTH BRITTANY AIRPORT;LORIENT;;FRANÇA;N/I;47,760556;-3,44
LFRK;CFR;CAEN CARPIQUET AIRPORT;CAEN;;FRANÇA;N/I;49,173333;-0,45
LFRN;RNS;RENNES - SAINT-JACQUES AIRPORT;RENNES;;FRANÇA;N/I;48,071944;-1,732222
LFRO;LAI;LANNION AIRPORT;LANNION;;FRANÇA;N/I;48,754167;-3,474444
LFRQ;UIP;QUIMPER PLUGUFFAN AIRPORT;QUIMPER;;FRANÇA;N/I;47,975;-4,167778
LFRS;NTE;NANTES ATLANTIQUE AIRPORT (FORMERLY AÉROPORT CHÂTEAU BOUGON);NANTES;;FRANÇA;N/I;47,156944;-1,607778
LFRT;SBK;SAINT-BRIEUC - ARMOR AIRPORT;SAINT-BRIEUC;;FRANÇA;N/I;48,5375;-2,856667
LFRU;MXN;MORLAIX PLOUJEAN AIRPORT;MORLAIX;;FRANÇA;N/I;48,600833;-3,816667
LFRV;VNE;VANNES-MEUCON AIRPORT;VANNES;;FRANÇA;N/I;47,719444;-2,723333
LFSB;BSL;EUROAIRPORT BASEL-MULHOUSE-FREIBURG;MULHOUSE, FRANCE/BASEL, SWITZERLAND;;FRANÇA;1A;47,59;7,529167
LFSD;DIJ;DIJON BOURGOGNE - LONGVIC AIRPORT;DIJON;;FRANÇA;N/I;47,273889;5,088889
LFSG;EPL;ÉPINAL MIRECOURT AIRPORT;ÉPINAL;;FRANÇA;N/I;48,324722;6,066944
LFSM;XMF;MONTBÉLIARD COURCELLES AIRPORT;MONTBÉLIARD;;FRANÇA;N/I;47,486667;6,791389
LFSN;ENC;NANCY-ESSEY AIRPORT;NANCY;;FRANÇA;N/I;48,692222;6,226111
LFSR;RHE;REIMS  CHAMPAGNE AIR BASE;REIMS;;FRANÇA;N/I;49,310278;4,050833
LFST;SXB;STRASBOURG ENTZHEIM AIRPORT;STRASBOURG;;FRANÇA;N/I;48,541944;7,534444
LFTH;TLN;HYÈRES LE PALYVESTRE AIRPORT;TOULON;;FRANÇA;N/I;43,097222;6,146111
LFTW;FNI;NÎMES-ALÈS-CAMARGUE-CÉVENNES AIRPORT (GARONS AIRPORT);NÎMES;;FRANÇA;N/I;43,7575;4,416389
LFTZ;LTT;LA MOLE AIRPORT;LA MÔLE;;FRANÇA;N/I;43,206389;6,4825
LFVM;MQC;MIQUELON AIRPORT;MIQUELON;;FRANÇA;N/I;47,095833;-56,384444
LFVP;FSP;SAINT PIERRE AIRPORT;SAINT-PIERRE;;FRANÇA;N/I;46,763056;-56,174167
LGAL;AXD;ALEXANDROUPOLIS INTERNATIONAL AIRPORT, "DIMOKRITOS" (DEMOCRITUS);ALEXANDROUPOLIS;;GRÉCIA;N/I;40,855869;25,956264
LGAV;ATH;ATHENS INTERNATIONAL AIRPORT, "ELEFTHERIOS VENIZELOS";ATHENS (ATHINA);;GRÉCIA;N/I;37,936389;23,947222
LGBL;VOL;INTERNATIONAL AIRPORT OF CENTRAL GREECE;NEA ANCHIALOS/VOLOS;;GRÉCIA;N/I;39,219444;22,794167
LGHI;JKH;CHIOS ISLAND NATIONAL AIRPORT, "OMIROS";CHIOS;;GRÉCIA;N/I;38,343056;26,140556
LGIK;JIK;IKARIA ISLAND NATIONAL AIRPORT, "IKAROS";IKARIA;;GRÉCIA;N/I;37,682717;26,347061
LGIO;IOA;IOANNINA NATIONAL AIRPORT, "KING PIROS";IOANNINA;;GRÉCIA;N/I;39,696389;20,8225
LGIR;HER;HERAKLION INTERNATIONAL AIRPORT, "NIKOS KAZANTZAKIS";HERAKLION (IRAKLION), CRETE;;GRÉCIA;N/I;35,339722;25,180278
LGKA;KSO;KASTORIA NATIONAL AIRPORT, "ARISTOTELIS";KASTORIA;;GRÉCIA;N/I;40,446294;21,282186
LGKC;KIT;KITHIRA ISLAND NATIONAL AIRPORT, ""ALEXANDROS ARISTOTELOUS ONASSIS";KYTHIRA (KITHIRA);;GRÉCIA;N/I;36,274258;23,016978
LGKF;EFL;KEFALONIA ISLAND INTERNATIONAL AIRPORT, "POLLATOU";KEFALONIA (KEFALLINIA, CEPHALLONIA);;GRÉCIA;N/I;38,12;20,500278
LGKJ;KZS;KASTELORIZO ISLAND PUBLIC AIRPORT, "MEGISTI";KASTELORIZO;;GRÉCIA;N/I;36,14167;29,576376
LGKL;KLX;KALAMATA INTERNATIONAL AIRPORT, "CAPTAIN VASSILIS CONSTANTAKOPOULOS";KALAMATA;;GRÉCIA;N/I;37,068383;22,025636
LGKO;KGS;KOS ISLAND INTERNATIONAL AIRPORT, "IPPOKRATIS" (HIPPOCRATES);KOS;;GRÉCIA;N/I;36,793336;27,091667
LGKP;AOK;KARPATHOS ISLAND NATIONAL AIRPORT;KARPATHOS;;GRÉCIA;N/I;35,420556;27,146667
LGKR;CFU;IOANNIS KAPODISTRIAS INTERNATIONAL AIRPORT;CORFU (KERKYRA, KERKIRA);;GRÉCIA;N/I;39,601944;19,911667
LGKS;KSJ;KASSOS ISLAND PUBLIC AIRPORT, "AGIA MARINA";KASOS (KASSOS);;GRÉCIA;N/I;35,421358;26,910047
LGKV;KVA;KAVALA INTERNATIONAL AIRPORT, "MEGAS ALEXANDROS";KAVALA;;GRÉCIA;N/I;40,913333;24,619167
LGKY;JKL;KALYMNOS ISLAND NATIONAL AIRPORT, "POTHIA";KALIMNOS;;GRÉCIA;N/I;36,963333;26,940556
LGKZ;KZI;KOZANI NATIONAL AIRPORT, "FILIPPOS";KOZANI;;GRÉCIA;N/I;40,286111;21,840833
LGLE;LRS;LEROS MUNICIPAL AIRPORT, "DODEKANISOS";LEROS;;GRÉCIA;N/I;37,184722;26,800278
LGLM;LXS;LEMNOS INTERNATIONAL AIRPORT, "IFAESTOS";LEMNOS (LIMNOS);;GRÉCIA;N/I;39,917072;25,236308
LGMK;JMK;MYKONOS ISLAND NATIONAL AIRPORT, "DILOS";MYKONOS (MIKONOS);;GRÉCIA;N/I;37,435128;25,348103
LGML;MLO;MILOS ISLAND NATIONAL AIRPORT, "AFRODITI";MILOS;;GRÉCIA;N/I;36,6969;24,4769
LGMT;MJT;MYTILENE INTERNATIONAL AIRPORT, "ODYSSEAS ELYTIS";MYTILENE (MITILINI), LESBOS;;GRÉCIA;N/I;39,056667;26,598333
LGNX;JNX;NAXOS ISLAND NATIONAL AIRPORT, "APOLLON";NAXOS;;GRÉCIA;N/I;37,081072;25,368158
LGPA;PAS;PAROS NATIONAL AIRPORT, "PANTELEOU";PAROS;;GRÉCIA;N/I;37,0112;25,128
LGPL;JTY;ASTYPALAIA ISLAND NATIONAL AIRPORT, "PANAGIA";ASTYPALAIA;;GRÉCIA;N/I;36,579886;26,375822
LGPZ;PVK;AKTION NATIONAL AIRPORT (LEFKADA AIRPORT);PREVEZA;;GRÉCIA;N/I;38,925556;20,765278
LGRP;RHO;RHODES INTERNATIONAL AIRPORT, "DIAGORAS";RHODES (RHODOS, RODOS);;GRÉCIA;N/I;36,405419;28,086192
LGRX;GPA;ARAXOS AIRPORT, "AGAMEMNON";ARAXOS;;GRÉCIA;N/I;38,151111;21,425556
LGSA;CHQ;CHANIA INTERNATIONAL AIRPORT, "IOANNIS DASKALOGIANNIS";CHANIA, CRETE;;GRÉCIA;N/I;35,531667;24,149722
LGSK;JSI;SKIATHOS ISLAND NATIONAL AIRPORT, "ALEXANDROS PAPADIAMANTIS";SKIATHOS;;GRÉCIA;N/I;39,1775;23,503675
LGSM;SMI;SAMOS INTERNATIONAL AIRPORT, "ARISTARCHOS";SAMOS;;GRÉCIA;N/I;37,69;26,911667
LGSO;JSY;SYROS ISLAND NATIONAL AIRPORT, "DIMITRIOS VIKELAS";SYROS (SIROS);;GRÉCIA;N/I;37,422778;24,950833
LGSR;JTR;SANTORINI (THIRA) NATIONAL AIRPORT, "ZEFIROS";SANTORINI (THIRA);;GRÉCIA;N/I;36,399169;25,479333
LGST;JSH;SITIA PUBLIC AIRPORT;SITIA, VITSENTZOS KORNAROS CRETE;;GRÉCIA;N/I;35,216108;26,101325
LGSY;SKU;SKYROS ISLAND NATIONAL AIRPORT, "AEGEON";SKYROS (SKIROS);;GRÉCIA;N/I;38,9675;24,487222
LGTS;SKG;THESSALONIKI INTERNATIONAL AIRPORT, "MAKEDONIA";THESSALONIKI;;GRÉCIA;N/I;40,519722;22,970833
LGZA;ZTH;ZAKYNTHOS INTERNATIONAL AIRPORT, "DIONYSIOS SOLOMOS";ZAKYNTHOS (ZAKINTHOS);;GRÉCIA;N/I;37,750833;20,884167
LHBP;BUD;LISZT FERENC INTERNATIONAL AIRPORT;BUDAPEST;;HUNGRIA;N/I;47,439444;19,261944
LHDC;DEB;DEBRECEN INTERNATIONAL AIRPORT;DEBRECEN;;HUNGRIA;N/I;47,488889;21,615278
LHPP;PEV;PÉCS-POGÁNY INTERNATIONAL AIRPORT;PÉCS;;HUNGRIA;N/I;45,990833;18,240833
LHPR;QGY;GYŐR-PÉR INTERNATIONAL AIRPORT;GYŐR, PÉR;;HUNGRIA;N/I;47,624444;17,813611
LHSK;SF*;SIÓFOK-KILITI AIRPORT;SÁGVÁR;;HUNGRIA;1A;46,860278;18,093611
LHSM;SOB;SÁRMELLÉK INTERNATIONAL AIRPORT;SÁRMELLÉK;;HUNGRIA;N/I;46,686389;17,159167
LIAP;QAQ;PRETURO AIRPORT;L´AQUILA;;ITÁLIA;N/I;42,379722;13,309167
LIBC;CRV;CROTONE AIRPORT (SANT´ANNA AIRPORT);CROTONE;;ITÁLIA;N/I;38,997222;17,080278
LIBD;BRI;BARI KAROL WOJTYLA INTERNATIONAL AIRPORT;BARI;;ITÁLIA;N/I;41,138856;16,760594
LIBF;FOG;GINO LISA AIRPORT;FOGGIA;;ITÁLIA;N/I;41,432778;15,535
LIBG;TAR;GROTTAGLIE AIRPORT;TARANTO;;ITÁLIA;N/I;40,5175;17,403056
LIBP;PSR;ABRUZZO INTERNATIONAL AIRPORT;PESCARA;;ITÁLIA;N/I;42,437222;14,187222
LIBR;BDS;CASALE AIRPORT;BRINDISI;;ITÁLIA;N/I;40,6575;17,946944
LICA;SUF;LAMEZIA TERME INTERNATIONAL AIRPORT;LAMEZIA TERME, CATANZARO;;ITÁLIA;N/I;38,905278;16,242222
LICB;CIY;COMISO AIRPORT;COMISO, RAGUSA;;ITÁLIA;N/I;36,991667;14,606944
LICC;CTA;CATANIA-FONTANAROSSA AIRPORT;CATANIA;;ITÁLIA;N/I;37,466667;15,063889
LICD;LMP;LAMPEDUSA AIRPORT;LAMPEDUSA, AGRIGENTO;;ITÁLIA;N/I;35,497778;12,618056
LICG;PNL;PANTELLERIA AIRPORT;PANTELLERIA, TRAPANI;;ITÁLIA;N/I;36,816389;11,968611
LICJ;PMO;PALERMO AIRPORT (PUNTA RAISI AIRPORT);PALERMO/PUNTA RAISI;;ITÁLIA;N/I;38,181944;13,099444
LICR;REG;REGGIO CALABRIA AIRPORT;REGGIO CALABRIA;;ITÁLIA;N/I;38,071944;15,653611
LICT;TPS;VINCENZO FLORIO AIRPORT (BIRGI AIRPORT);TRAPANI;;ITÁLIA;N/I;37,911944;12,493333
LICZ;NSY;SIGONELLA AIRPORT (MILITARY);LENTINI, SYRACUSE;;ITÁLIA;N/I;37,401667;14,922222
LIDB;BLX;BELLUNO AIRPORT;BELLUNO;;ITÁLIA;N/I;46,166667;12,248056
LIDR;RAN;RAVENNA AIRPORT;RAVENNA;;ITÁLIA;N/I;44,364444;12,225556
LIEA;AHO;FERTILIA AIRPORT (ALGHERO AIRPORT);ALGHERO, SASSARI;;ITÁLIA;N/I;40,631111;8,288611
LIED;DCI;DECIMOMANNU AIR BASE;DECIMOMANNU, CAGLIARI;;ITÁLIA;N/I;39,354167;8,972222
LIEE;CAG;CAGLIARI - ELMAS AIRPORT;CAGLIARI;;ITÁLIA;N/I;39,251469;9,054283
LIEO;OLB;OLBIA - COSTA SMERALDA AIRPORT;OLBIA;;ITÁLIA;N/I;40,898611;9,5175
LIER;FNU;ORISTANO-FENOSU AIRPORT;ORISTANO;;ITÁLIA;N/I;39,895415;8,642592
LIET;TTB;TORTOLÌ AIRPORT;TORTOLÌ;;ITÁLIA;N/I;39,916667;9,683333
LIMC;MXP;MALPENSA INTERNATIONAL AIRPORT;MILAN;;ITÁLIA;N/I;45,63;8,723056
LIME;BGY;ORIO AL SERIO INTERNATIONAL AIRPORT;BERGAMO;;ITÁLIA;N/I;45,668889;9,700278
LIMF;TRN;TURIN INTERNATIONAL AIRPORT (TORINO CASELLE AIRPORT);TURIN (TORINO);;ITÁLIA;N/I;45,2025;7,649444
LIMG;ALL;VILLANOVA D´ALBENGA INTERNATIONAL AIRPORT (C. PANERO AIRPORT);ALBENGA, SAVONA;;ITÁLIA;N/I;44,045833;8,125556
LIMJ;GOA;GENOA CRISTOFORO COLOMBO AIRPORT (SESTRI AIRPORT);GENOA (GENOVA);;ITÁLIA;N/I;44,413333;8,8375
LIML;LIN;LINATE AIRPORT;MILAN;;ITÁLIA;N/I;45,449444;9,278333
LIMP;PMF;PARMA AIRPORT (G. VERDI AIRPORT);PARMA;;ITÁLIA;N/I;44,822222;10,295278
LIMW;AOT;AOSTA AIRPORT (CORRADO GEX AIRPORT);AOSTA;;ITÁLIA;N/I;45,738333;7,368611
