SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
CYAL;YAL;ALERT BAY AIRPORT;ALERT BAY, BRITISH COLUMBIA;;CANADÁ;N/I;50,582222;-126,915556
CYAM;YAM;SAULT STE. MARIE AIRPORT;SAULT STE. MARIE, ONTARIO;;CANADÁ;N/I;46,485;-84,509444
CYAQ;XKS;KASABONIKA AIRPORT;KASABONIKA, ONTARIO;;CANADÁ;N/I;53,524722;-88,643056
CYAS;YKG;KANGIRSUK AIRPORT;KANGIRSUK, QUEBEC;;CANADÁ;N/I;60,027222;-69,999167
CYAT;YAT;ATTAWAPISKAT AIRPORT;ATTAWAPISKAT, ONTARIO;;CANADÁ;N/I;52,9275;-82,431944
CYAW;YAW;CFB SHEARWATER (HALIFAX/SHEARWATER AIRPORT);SHEARWATER, NOVA SCOTIA;;CANADÁ;N/I;44,637222;-63,502222
CYAY;YAY;ST. ANTHONY AIRPORT;ST. ANTHONY, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;51,391944;-56,083056
CYAZ;YAZ;TOFINO/LONG BEACH AIRPORT;TOFINO, BRITISH COLUMBIA;;CANADÁ;N/I;49,082222;-125,7725
CYBA;YBA;BANFF AIRPORT;BANFF, ALBERTA;;CANADÁ;N/I;51,208333;-115,540278
CYBB;YBB;KUGAARUK AIRPORT;KUGAARUK, NUNAVUT;;CANADÁ;N/I;68,535833;-89,805278
CYBC;YBC;BAIE-COMEAU AIRPORT;BAIE-COMEAU, QUEBEC;;CANADÁ;N/I;49,1325;-68,204444
CYBD;QBC;BELLA COOLA AIRPORT;BELLA COOLA, BRITISH COLUMBIA;;CANADÁ;N/I;52,3875;-126,595833
CYBE;YBE;URANIUM CITY AIRPORT;URANIUM CITY, SASKATCHEWAN;;CANADÁ;N/I;59,561389;-108,481389
CYBF;YBY;BONNYVILLE AIRPORT;BONNYVILLE, ALBERTA;;CANADÁ;N/I;54,304722;-110,741111
CYBG;YBG;CFB BAGOTVILLE (BAGOTVILLE AIRPORT);BAGOTVILLE, QUEBEC;;CANADÁ;N/I;48,330556;-70,996944
CYBK;YBK;BAKER LAKE AIRPORT;BAKER LAKE, NUNAVUT;;CANADÁ;N/I;64,298889;-96,077778
CYBL;YBL;CAMPBELL RIVER AIRPORT;CAMPBELL RIVER, BRITISH COLUMBIA;;CANADÁ;N/I;49,951944;-125,273056
CYBQ;XTL;TADOULE LAKE AIRPORT;TADOULE LAKE, MANITOBA;;CANADÁ;N/I;58,706111;-98,512222
CYBR;YBR;BRANDON MUNICIPAL AIRPORT (MCGILL FIELD);BRANDON, MANITOBA;;CANADÁ;N/I;49,91;-99,952222
CYBT;YBT;BROCHET AIRPORT;BROCHET, MANITOBA;;CANADÁ;N/I;57,889444;-101,679167
CYBU;YBU;NIPAWIN AIRPORT;NIPAWIN, SASKATCHEWAN;;CANADÁ;N/I;53,3325;-104,008889
CYBV;YBV;BERENS RIVER AIRPORT;BERENS RIVER, MANITOBA;;CANADÁ;N/I;52,358889;-97,018056
CYBX;YBX;LOURDES-DE-BLANC-SABLON AIRPORT;BLANC-SABLON, QUEBEC;;CANADÁ;N/I;51,441944;-57,186111
CYCA;YRF;CARTWRIGHT AIRPORT;CARTWRIGHT, NEWFOUNDLAND AND LABRADOR;;CANADÁ;N/I;53,6825;-57,041944
CYCB;YCB;CAMBRIDGE BAY AIRPORT;CAMBRIDGE BAY, NUNAVUT;;CANADÁ;N/I;69,108056;-105,137222
CYCC;YCC;CORNWALL REGIONAL AIRPORT;CORNWALL, ONTARIO;;CANADÁ;N/I;45,092778;-74,567778
CYCD;YCD;NANAIMO AIRPORT;NANAIMO, BRITISH COLUMBIA;;CANADÁ;N/I;49,054444;-123,87
